ox_code	p2_dtc_prediction	p2_rfc_prediction	p2_umap_0	p2_umap_1
AC0181-Cb	0	0	inf	inf
AC0182-Ca	0	0	inf	inf
AC0182-Cb	0	0	inf	inf
AC0183-Ca	0	0	inf	inf
AC0183-Cb	0	0	inf	inf
AC0184-Ca	0	0	inf	inf
AC0184-Cb	0	0	inf	inf
AC0185-Ca	0	0	inf	inf
AC0185-Cb	0	0	inf	inf
AC0186-Ca	0	0	inf	inf
AC0186-Cb	0	0	inf	inf
AC0187-Ca	0	0	inf	inf
AC0187-Cb	0	0	inf	inf
AC0188-Ca	0	0	inf	inf
AC0188-Cb	0	0	inf	inf
AC0189-Ca	0	0	inf	inf
AC0189-Cb	0	0	inf	inf
AC0190-Ca	0	0	inf	inf
AC0190-Cb	0	0	inf	inf
AC0191-Ca	0	0	inf	inf
